Index,Formability,Tolerance_Factor,Valence_Electron_Number,Martynov_Batsanov_Electronegativity,Ideal_Bond_Length_Sum,Mendeleev_Number
47,0,0.9689,11.5,3.787,3.8756,136.6
48,1,0.964,12.5,3.807,3.8532,139.3
49,0,1.0022,8.0,3.699,3.9452,124.15
50,0,0.9939,8.0,3.672,3.9512,124.2
51,1,1.0174,8.75,3.7688,3.9195,126.65
52,1,1.0068,8.0,3.762,3.9243,121.75
53,1,0.9851,11.0,3.798,3.8778,134.2
54,1,0.9757,9.375,3.7498,3.9089,121.25
55,1,0.9907,8.0,3.696,3.8938,134.3
56,1,0.9842,8.38,3.7369,3.926,116.544
57,0,0.9785,8.0,3.7765,3.9512,136.95
58,0,0.977,8.0,3.6645,3.8814,138.1625
59,1,0.9899,8.0,3.7428,3.9346,118.7814
60,1,0.9993,7.997,3.7523,3.9066,130.921
61,0,0.9924,8.0,3.7775,3.9443,133.25
62,1,0.9595,8.0,3.7403,3.9495,126.65
63,0,0.9777,11.345,3.7774,3.8967,135.87
64,0,0.9884,8.0,3.7458,3.9218,119.725
65,1,0.9808,8.0,3.724,3.9334,113.2
66,1,0.9831,8.0,3.7347,3.9356,117.21
67,1,1.0201,8.4,3.797,3.9182,125.4
68,1,0.9979,9.8725,3.8532,3.899,130.433
69,0,0.9487,14.0,3.69,3.8672,145.2
70,1,0.9943,8.0,3.7482,3.934,119.8155
71,1,0.9804,8.0,3.7332,3.9119,121.72
72,0,0.9606,8.0,3.564,3.9754,124.4
73,0,0.9616,11.0,3.738,3.9195,135.1
74,1,1.0022,9.4,3.8395,3.8962,128.9
75,0,0.9781,11.75,3.7238,3.8896,137.25
76,1,0.9724,8.0,3.7316,3.9402,119.05
77,1,0.9972,8.75,3.7605,3.9184,122.65
78,1,0.971,12.0,3.804,3.8614,137.6
79,1,0.9621,8.0,3.7418,3.9487,126.55
80,1,1.0106,9.0,3.782,3.9123,127.6
81,1,0.9858,8.0,3.7363,3.9274,116.7325
82,0,0.9773,8.0,3.618,3.9633,124.3
83,1,0.9907,8.0,3.7478,3.9358,120.7
84,1,0.9785,8.0,3.7459,3.878,134.85
85,1,0.9924,8.0,3.738,3.9318,115.9
86,0,0.9725,10.5,3.745,3.9208,133.25
87,1,0.9843,8.0,3.7371,3.9131,121.91
88,0,1.004,8.0,3.804,3.8858,138.4
89,1,0.9608,8.0,3.741,3.9491,126.6
90,0,0.9904,8.0,3.7476,3.9221,119.95
91,1,0.9832,9.175,3.7542,3.9115,121.65
92,1,0.9785,8.0,3.737,3.9387,119.6
93,1,0.9862,8.0,3.7391,3.9138,122.005
94,1,1.0061,9.5,3.789,3.9024,129.1
95,0,0.9862,8.0,3.7956,3.8773,139.174
96,0,1.0133,8.0,3.779,3.9339,127.7
97,1,0.9784,8.0,3.7313,3.9113,121.625
98,0,0.9229,8.0,3.654,3.9414,99.7
99,0,0.9345,8.0,3.668,3.9398,102.4
100,1,1.0172,8.25,3.7735,3.9241,123.55
101,0,1.0106,8.0,3.726,3.9391,124.1
102,1,0.9991,10.0,3.792,3.8942,130.8
103,1,1.0156,8.0,3.792,3.9064,131.2
104,0,0.9673,9.5,3.741,3.9098,121.3
105,1,0.957,8.0,3.7388,3.9504,126.75
106,1,0.9773,11.55,3.8013,3.8688,136.07
107,1,0.9777,8.0,3.7454,3.8772,135.025
108,1,0.9854,8.0,3.7533,3.9402,124.69
109,1,0.9842,8.0,3.7306,3.9308,114.937
110,0,0.9461,8.0,3.682,3.9382,105.1
111,1,0.9889,8.0,3.7575,3.9398,125.5
112,1,1.0132,8.8,3.86,3.9068,126.8
113,1,0.9769,8.0,3.7448,3.8764,135.2
114,1,0.9851,9.125,3.7553,3.9122,121.75
