Index,Phase,DelH,DelS,Tm/K ,DelO,DelR,DelK,Erms,VEC,e/a
175,2,-4.4896,14.8966,1621.97,5.38,4.8669,0.1189,0.036902,7.84,1.83
176,1,1.245,13.1503,1672.76,17.67,3.9519,0.1105,0.044915,7.88,1.67
177,0,-7.7167,13.2948,1753.34,3.02,4.3087,0.1321,0.033371,7.04,1.85
178,2,-12.0175,14.7834,1685.51,2.07,6.1851,0.1408,0.037374,6.92,1.77
179,0,-5.3796,10.358,2995.38,5.77,2.6159,0.3123,0.032503,5.37,1.37
180,1,-3.7232,13.2289,1814.56,6.45,1.9729,0.1355,0.055695,7.76,1.74
181,1,-7.917,12.9555,1780.44,2.91,3.8132,0.1094,0.045749,7.81,1.86
182,1,-10.6219,13.3544,1862.58,2.34,4.5525,0.129,0.041421,8.06,1.8
183,0,-15.36,17.9911,1628.45,1.91,5.7064,0.1424,0.024321,6.6,2.0
184,1,-5.36,11.8583,1856.68,4.11,2.2144,0.0901,0.049488,8.0,1.9
185,0,-2.3621,13.1503,2401.57,13.37,5.4708,0.3223,0.019731,4.56,1.67
186,0,-1.12,13.3809,2699.75,32.25,4.9911,0.3071,0.025425,4.8,1.6
187,0,0.6144,14.6919,2542.71,60.8,4.5475,0.2274,0.022233,4.54,1.73
188,0,-5.1507,11.7534,2207.32,5.04,4.6217,0.1832,0.036962,6.24,1.71
189,0,-1.4598,12.3001,2276.61,19.18,4.3982,0.1228,0.016988,4.21,1.79
190,2,-15.4417,15.5456,1682.07,1.69,5.9674,0.1341,0.037075,7.09,1.96
191,0,-24.6151,13.2563,1941.5,1.05,4.7739,0.1269,0.01507,3.91,2.09
192,2,-5.564,13.0984,1507.69,3.55,5.6266,0.124,0.037204,6.79,1.97
193,0,-0.72,12.2283,2154.75,36.6,5.9876,0.1177,0.01982,4.3,1.9
194,2,-9.2257,14.3452,1498.16,2.33,5.9203,0.1298,0.036856,6.97,2.04
195,0,-9.3407,12.9,1660.31,2.29,4.6863,0.1272,0.032354,6.75,1.96
196,0,-4.5438,13.3262,2929.56,8.59,3.4771,0.3426,0.0334,5.43,1.58
197,2,-11.9444,12.9122,1682.71,1.82,5.1181,0.1204,0.036778,7.7,2.0
198,2,-13.2588,13.3552,1643.58,1.66,5.5837,0.1226,0.03716,7.03,2.04
199,0,-20.7959,14.8383,1683.07,1.2,6.4126,0.1385,0.022917,6.64,2.03
200,1,-11.75,9.6752,1098.27,0.9,4.839,0.1614,0.072954,4.2,2.9
201,0,-31.376,14.8966,1783.45,0.85,8.7014,0.1898,0.021639,5.66,2.17
202,0,-16.1269,12.6365,1503.96,1.18,6.2798,0.1273,0.022086,6.24,2.23
203,1,-2.331,10.6238,1916.53,8.73,2.8415,0.1111,0.05181,7.92,1.8
204,1,-9.0116,13.4579,1797.03,2.68,4.0778,0.1137,0.04556,7.79,1.84
205,0,-1.0629,13.2563,2457.89,30.65,5.0158,0.2918,0.022651,4.64,1.55
206,0,-4.3616,11.2974,2132.62,5.52,4.7308,0.1073,0.018714,4.24,1.81
207,0,-13.0304,14.865,1618.94,1.85,5.175,0.1386,0.026737,7.0,2.04
208,0,-2.6038,12.7211,2401.22,11.73,5.2897,0.2981,0.024638,4.76,1.53
210,1,-5.0204,13.9149,1722.99,4.78,3.824,0.1081,0.03959,8.33,1.83
211,1,5.0328,11.6964,1752.22,4.07,1.4409,0.1008,0.047126,8.73,1.51
212,0,-1.6,13.3809,2432.55,20.34,5.2286,0.3059,0.021387,4.6,1.6
213,0,-2.5265,12.2598,2312.0,11.22,6.0347,0.2323,0.029597,4.86,1.72
214,2,-4.8965,14.6919,1573.72,4.72,5.0687,0.1165,0.036642,8.0,1.91
