Index,Phase,DelH,DelS,Tm/K ,DelO,DelR,DelK,Erms,VEC,e/a
414,2,4.9375,12.9664,1653.26,4.34,1.9682,0.1455,0.03802,8.5,1.63
415,2,-1.6103,14.6919,1638.5,14.95,3.9123,0.1428,0.037771,7.91,1.73
416,2,-4.9,11.0645,1860.88,4.2,2.0816,0.0874,0.038005,7.9,1.9
417,0,0.9714,11.0734,2313.94,26.38,4.4067,0.102,0.012178,4.12,2.0
418,0,-15.4669,15.5398,1682.23,1.69,5.9684,0.1341,0.023392,7.09,1.96
419,0,-14.3097,14.2251,1651.74,1.64,6.1006,0.1632,0.023839,6.46,2.08
420,1,-0.2362,13.1503,1663.44,92.61,4.2012,0.1162,0.044661,8.11,1.67
421,0,-8.452,13.1503,2344.88,3.65,3.5031,0.0454,0.027547,4.55,1.89
422,0,-18.24,13.3809,3201.35,2.35,2.3796,0.3248,0.029372,5.8,1.6
423,0,-4.832,10.8669,2127.57,4.78,3.9782,0.147,0.037242,6.28,1.69
424,1,-4.0757,12.6346,1854.36,5.75,1.4264,0.1151,0.051046,8.05,1.72
425,0,-2.199,13.3053,2333.58,14.12,5.89,0.2503,0.026149,4.72,1.64
426,0,-13.4569,11.9966,1354.58,1.21,21.2868,0.3121,0.048792,5.11,1.78
427,1,-6.8103,12.7211,1802.63,3.37,3.3131,0.1062,0.046306,7.94,1.83
428,0,-6.9073,13.6358,2546.59,5.03,3.5041,0.099,0.025234,4.5,1.8
429,2,-6.8776,14.7907,1569.31,3.37,5.4458,0.125,0.036877,7.47,1.93
430,1,-17.6,13.3809,1551.69,1.18,6.5796,0.1535,0.026045,7.2,2.0
431,1,-6.26,13.3763,1854.15,3.96,2.4811,0.1136,0.051555,7.95,1.85
432,1,-4.1446,12.8074,1928.29,5.96,2.9283,0.1267,0.048363,8.1,1.7
433,1,-4.7187,13.7127,1781.75,5.18,2.4024,0.1385,0.052273,7.95,1.81
434,1,-0.2362,13.1503,1663.44,92.61,4.2012,0.1162,0.044661,8.11,1.67
435,1,-4.465,14.3697,1711.34,5.51,6.5023,0.1452,0.040819,7.86,1.59
436,0,-24.7113,14.8966,1908.76,1.15,10.6852,0.2533,0.01634,6.83,1.83
437,1,-2.2044,12.5942,1676.18,9.58,4.0149,0.113,0.040594,8.46,1.73
438,0,2.64,10.9232,2358.65,9.76,4.1232,0.1071,0.021068,4.4,1.7
440,2,-6.3239,16.0001,1662.75,4.21,4.8288,0.1229,0.03713,7.62,1.85
441,1,-2.24,13.3809,1767.04,10.56,2.9232,0.1037,0.039488,8.6,1.8
442,0,-17.0348,14.592,1692.67,1.45,5.9701,0.1318,0.024028,6.96,2.0
443,0,-1.44,13.3809,2661.35,24.73,4.2088,0.2832,0.025454,4.8,1.6
444,1,0.6529,13.0189,1679.88,33.5,3.8889,0.1139,0.045128,8.22,1.64
445,0,-10.4375,13.8633,1448.8,1.92,6.1132,0.1315,0.020217,6.63,2.13
446,0,0.7716,14.8703,2443.01,47.08,5.7326,0.1203,0.023982,4.48,1.83
447,0,-1.456,13.2563,2404.88,21.9,5.2814,0.301,0.020476,4.55,1.64
448,0,0.1875,12.9664,2250.78,155.65,5.8431,0.1279,0.017983,4.25,1.88
449,2,-13.8125,17.2885,1728.99,2.16,5.7804,0.1403,0.037263,7.0,1.88
450,2,-1.0583,13.3531,1626.13,20.52,4.6392,0.1159,0.037317,7.58,1.75
451,2,-3.8198,14.8744,1599.76,6.23,4.5112,0.1428,0.03771,7.64,1.8
452,0,0.3564,3.3656,2003.76,18.92,1.8035,0.0373,0.010054,4.06,1.97
453,1,-10.6219,13.3544,1862.58,2.34,4.5525,0.129,0.041421,8.06,1.8
454,1,-5.2653,13.9283,1773.18,4.69,2.684,0.1387,0.052022,7.9,1.82
455,2,-9.4288,11.2338,1649.0,1.96,4.8073,0.0969,0.036536,8.15,2.14
456,0,-4.9539,14.8966,1579.54,4.75,4.7691,0.1425,0.027363,7.49,1.84
457,1,4.76,12.5736,1723.82,4.55,2.5801,0.067,0.03068,9.33,1.71
458,1,-4.434,12.8845,1636.16,4.75,4.7393,0.1198,0.039556,8.17,1.79
459,2,-15.52,14.5334,1773.15,1.66,5.6301,0.1316,0.037196,7.3,1.9
460,1,-5.3504,14.3623,1809.56,4.86,2.416,0.1381,0.053344,7.85,1.81
461,2,-10.9788,13.337,1710.16,2.08,4.9197,0.1174,0.037207,7.41,1.95
463,2,-15.0483,13.4833,1715.87,1.54,5.5099,0.127,0.036604,7.47,2.0
464,1,-3.7232,13.2289,1814.56,6.45,1.9729,0.1355,0.055695,7.76,1.74
466,0,-13.9368,14.6919,1718.35,1.81,5.2062,0.1226,0.026104,7.0,2.0
467,2,-0.47,14.3159,1736.82,52.9,3.0386,0.1032,0.037009,8.4,1.7
468,2,-8.4993,14.5301,1522.14,2.6,5.7866,0.1285,0.036862,7.14,2.0
469,2,0.0953,14.4157,1665.62,251.95,3.3577,0.1426,0.037814,8.1,1.68
470,2,-8.158,15.9229,1707.58,3.33,5.3393,0.1322,0.036911,7.85,1.75
471,2,-7.6013,16.1783,1699.39,3.62,4.7614,0.125,0.037328,7.43,1.86
472,0,-0.96,10.9232,2244.75,25.54,6.3714,0.1188,0.022474,4.5,1.6
473,0,0.7856,11.6296,2269.22,33.59,5.1973,0.1598,0.022028,4.44,1.68
474,0,3.5,11.5257,2652.15,8.73,3.7469,0.1161,0.023076,4.5,1.75
475,1,-3.768,13.1728,1793.26,6.27,1.9749,0.1364,0.052592,7.93,1.8
476,2,-9.8434,15.9873,1715.96,2.79,5.625,0.1372,0.036908,7.74,1.76
477,1,-11.04,13.3809,1718.64,2.08,5.8583,0.1388,0.026193,8.4,1.8
478,0,-7.2705,12.6674,1709.14,2.98,4.1188,0.1288,0.033372,7.0,1.89
479,0,-5.4071,12.3113,2276.29,5.18,5.0406,0.209,0.036718,6.2,1.72
480,0,-4.5,11.5257,2959.65,7.58,3.7982,0.3419,0.033326,5.25,1.75
481,1,-0.3518,12.8819,1684.11,61.67,2.395,0.1548,0.051288,8.43,1.72
482,1,-4.16,13.3809,1790.32,5.76,2.074,0.1384,0.052524,8.0,1.8
483,2,5.0,12.9664,1693.53,4.39,1.9682,0.1471,0.038044,8.25,1.5
484,0,-5.28,13.3809,2587.35,6.56,5.5536,0.2394,0.030996,5.2,1.4
485,0,-4.005,10.3962,1796.74,4.66,1.8531,0.1184,0.030061,8.35,1.85
486,2,-6.8622,14.7845,1567.91,3.38,5.447,0.1249,0.036882,7.46,1.92
487,0,-2.25,11.5257,1908.11,9.77,2.6247,0.1021,0.037363,6.5,1.75
488,0,-10.4375,13.8633,1448.8,1.92,6.1132,0.1315,0.020217,6.63,2.13
489,0,-1.7884,13.1503,2310.06,16.99,5.9414,0.2287,0.025809,4.67,1.67
490,2,2.9092,12.8819,1783.19,7.9,1.723,0.1287,0.038357,8.0,1.57
491,1,-4.8343,12.6674,1811.35,4.75,1.8648,0.1298,0.04703,8.33,1.78
492,0,-3.8514,10.5584,2535.69,6.95,2.8174,0.2878,0.028833,5.13,1.34
493,1,-7.917,12.9555,1780.44,2.91,3.8132,0.1094,0.045749,7.81,1.86
494,1,-5.2653,13.9283,1773.18,4.69,2.684,0.1387,0.052022,7.9,1.82
495,0,2.36,11.1836,2376.8,11.26,3.9649,0.099,0.02097,4.4,1.75
496,2,-8.76,14.5334,1628.15,2.7,5.2968,0.1253,0.036781,7.5,1.9
497,0,-4.4096,12.631,2346.49,6.72,4.0852,0.1014,0.020862,4.34,1.86
498,2,-8.5068,14.538,1523.95,2.6,5.7827,0.1285,0.03686,7.15,2.0
499,2,3.75,12.9664,1719.41,5.95,1.8631,0.1351,0.037446,8.63,1.5
500,1,-8.271,13.0189,1773.04,2.79,3.9589,0.1103,0.045561,7.77,1.87
501,0,-2.7111,13.2563,2350.23,11.49,5.9557,0.2626,0.027602,4.82,1.64
502,2,-5.5825,12.9776,1613.74,3.75,5.0619,0.123,0.036874,8.0,1.83
503,2,-3.0817,13.3531,1585.69,6.87,5.2031,0.1239,0.037348,7.5,1.79
504,2,-8.0,11.5257,1446.36,2.08,5.755,0.1246,0.035523,8.25,2.0
505,2,-8.6544,13.1503,1536.39,2.33,5.5275,0.1146,0.036431,7.89,2.11
506,0,-2.662,12.9776,2335.09,11.38,6.0284,0.251,0.028388,4.83,1.67
507,1,-4.1166,13.2962,1788.41,5.78,2.015,0.1366,0.050689,8.07,1.82
508,1,-13.36,9.6752,1083.83,0.78,4.5246,0.1573,0.073516,4.15,2.9
509,0,-1.325,13.2563,2438.63,24.4,5.2225,0.3017,0.020477,4.55,1.64
510,0,0.3103,3.0188,1994.52,19.4,1.6865,0.0348,0.009653,4.05,1.97
511,0,-0.25,11.5257,2236.9,103.13,6.0655,0.1156,0.02472,4.5,1.75
512,0,-2.6727,12.9842,2337.98,11.36,6.0239,0.2516,0.028407,4.84,1.67
513,2,-6.1101,12.9759,1488.47,3.16,5.7162,0.1246,0.037185,6.67,2.0
514,2,-3.0627,14.7337,1618.49,7.79,4.3415,0.1388,0.037852,7.69,1.81
515,1,-7.0631,15.5473,1754.28,3.86,4.8982,0.1272,0.040895,8.0,1.73
516,0,-4.64,13.3809,2945.75,8.49,3.514,0.3429,0.0333,5.4,1.6
517,0,2.5,11.5257,2510.4,11.57,3.8342,0.0981,0.023114,4.5,1.75
518,0,0.135,13.0758,2548.38,246.83,4.2023,0.2208,0.024311,4.65,1.68
519,0,-13.4473,14.8703,3018.2,3.34,3.36,0.313,0.030508,5.64,1.66
520,2,-6.2572,14.8966,1745.35,4.16,5.2689,0.1552,0.037704,7.67,1.67
521,1,-6.9043,12.7211,2066.3,3.81,5.218,0.1869,0.053545,7.23,1.59
523,1,-7.6788,12.9555,2037.37,3.44,5.3618,0.1891,0.05289,7.12,1.63
524,0,-14.8724,14.8966,1756.0,1.76,5.0859,0.1231,0.027053,6.84,2.0
525,0,-1.6,13.3809,2432.55,20.34,5.2286,0.3059,0.021387,4.6,1.6
526,1,0.7228,13.1503,1802.07,32.79,1.042,0.0945,0.044922,8.56,1.67
527,0,-2.5,11.5257,2415.65,11.14,4.9654,0.3074,0.023732,4.75,1.5
528,1,-5.3504,14.3623,1809.56,4.86,2.416,0.1381,0.053344,7.85,1.81
529,2,-6.0293,14.86,1589.92,3.92,5.2512,0.123,0.036884,7.61,1.89
530,0,-11.1033,13.3719,1874.91,2.26,5.8981,0.1969,0.028494,6.52,1.83
531,0,-14.2644,13.2563,1606.59,1.49,5.8463,0.1247,0.023849,6.82,2.09
532,0,-6.3659,12.8276,2221.22,4.48,4.4997,0.1244,0.016686,4.16,1.84
533,1,-4.9781,12.2598,1589.83,3.92,4.6648,0.0973,0.023249,8.43,2.0
534,0,-4.5438,13.3262,2929.56,8.59,3.4771,0.3426,0.0334,5.43,1.58
535,1,1.7703,13.5757,1630.19,12.5,2.6774,0.1349,0.039908,8.98,1.81
536,0,-2.5265,12.2598,2312.0,11.22,6.0347,0.2323,0.029597,4.86,1.72
537,2,-8.2435,14.6211,1722.62,3.06,3.8593,0.1393,0.037716,7.61,1.89
538,2,-4.5615,13.254,1539.0,4.47,5.4437,0.1226,0.037234,7.0,1.91
539,0,-1.9949,10.6628,2409.16,12.88,2.9103,0.2267,0.027102,4.82,1.46
540,1,-4.0629,15.472,1691.95,6.44,4.5388,0.1193,0.040093,8.11,1.74
541,1,-1.7372,13.3053,1633.84,12.51,4.6692,0.1199,0.043809,7.9,1.72
542,2,-7.0631,15.5473,1754.28,3.86,4.8982,0.1272,0.03699,8.0,1.73
543,1,-3.5,11.5257,1323.98,4.36,4.2368,0.2452,0.034548,10.0,1.75
544,0,2.5,11.5257,2318.15,10.69,4.3108,0.1213,0.017211,4.25,1.75
545,0,-3.595,16.1783,2731.09,12.29,4.9784,0.3783,0.024967,4.86,1.71
546,1,-4.76,11.7645,1837.37,4.54,1.5574,0.1165,0.048369,8.35,1.75
547,0,-0.268,12.3113,2303.16,105.8,5.263,0.2129,0.022776,4.53,1.64
548,0,-16.1075,12.6292,1502.15,1.18,6.2836,0.1273,0.022056,6.23,2.23
549,0,-12.13,13.9283,1697.51,1.95,5.3838,0.1308,0.025109,7.18,1.98
550,1,-4.4967,13.6055,1785.18,5.4,2.2778,0.1385,0.052374,7.97,1.81
551,0,-9.031,13.1503,2260.74,3.29,3.2896,0.2389,0.02801,4.78,1.67
552,0,0.98,11.4488,2247.73,26.26,4.5295,0.1089,0.011664,4.1,1.95
553,0,1.875,12.4226,2316.65,15.35,4.3825,0.1072,0.016906,4.25,1.88
554,0,-11.9422,16.1862,2904.62,3.94,5.0624,0.2986,0.032099,5.72,1.57
555,2,-6.998,15.605,1813.33,4.04,4.0743,0.1245,0.037715,7.39,1.8
556,1,-7.917,12.9555,1780.44,2.91,3.8132,0.1094,0.045749,7.81,1.86
557,1,-8.1269,14.8966,1786.93,3.28,5.4178,0.1385,0.039238,8.01,1.67
558,0,0.98,11.4488,2247.73,26.26,4.5295,0.1089,0.011664,4.1,1.95
559,0,-8.6176,13.7779,2251.22,3.6,4.2876,0.0979,0.021166,4.3,1.9
560,0,2.44,11.4419,2443.6,11.46,3.9012,0.0986,0.022068,4.45,1.75
561,2,-2.24,13.3809,1599.49,9.55,4.9395,0.1184,0.037292,7.4,1.8
562,1,-6.1967,14.6919,1824.95,4.33,2.6301,0.1376,0.053992,7.73,1.82
563,1,0.7228,13.1503,1802.07,32.79,1.042,0.0945,0.044922,8.56,1.67
564,0,-31.4554,16.1783,1781.28,0.92,8.8149,0.1945,0.02024,6.14,2.14
565,1,-3.992,13.3433,1791.58,5.99,2.0328,0.1375,0.052553,7.97,1.8
566,0,-11.2878,16.1862,2876.45,4.12,3.1148,0.3111,0.028419,5.43,1.72
567,1,-10.7008,10.3968,1728.19,1.68,4.6282,0.1191,0.042654,7.96,1.92
