Index,Formability,Tolerance_Factor,Valence_Electron_Number,Martynov_Batsanov_Electronegativity,Ideal_Bond_Length_Sum,Mendeleev_Number
59,1,1.004,8.0,3.752,3.9302,118.6
60,1,1.0053,9.0,3.766,3.9245,127.7
61,1,0.9784,8.0,3.7313,3.9113,121.625
62,1,0.9785,8.0,3.7459,3.878,134.85
63,1,1.0105,9.07,3.8218,3.911,127.676
64,1,1.0125,9.125,3.7631,3.9158,127.975
65,1,1.0173,8.669,3.7795,3.9209,126.374
66,1,0.9921,10.0,3.98,3.8765,131.0
67,1,0.9851,11.0,3.798,3.8778,134.2
68,1,0.9873,9.0,3.754,3.9155,122.2
69,1,1.0058,9.2,3.831,3.9006,128.2
70,1,1.0068,8.0,3.762,3.9243,121.75
71,0,0.9223,8.0,3.645,3.909,142.0
72,1,0.9843,8.0,3.7371,3.9131,121.91
73,1,0.9899,8.0,3.7428,3.9346,118.7814
74,1,0.9773,11.55,3.8013,3.8688,136.07
75,1,0.9924,8.0,3.738,3.9318,115.9
76,0,1.0022,8.0,3.699,3.9452,124.15
77,0,0.9777,11.345,3.7774,3.8967,135.87
78,1,1.0162,9.176,3.7948,3.8905,127.928
79,1,0.9998,8.0,3.717,3.9021,131.725
80,1,1.0057,8.0,3.7715,3.9152,125.5975
81,1,0.9889,8.0,3.7575,3.9398,125.5
82,0,0.9785,8.0,3.7765,3.9512,136.95
83,0,0.9745,8.0,3.7274,3.91,121.435
84,1,0.9944,9.5,3.759,3.9233,129.55
85,0,0.9487,14.0,3.69,3.8672,145.2
86,0,0.9606,12.0,3.788,3.8682,138.4
87,1,0.957,8.0,3.7388,3.9504,126.75
88,0,0.9781,10.8,4.06,3.8563,133.8
89,1,1.0156,8.0,3.792,3.9064,131.2
90,1,1.0022,9.4,3.8395,3.8962,128.9
91,0,0.9773,8.0,3.618,3.9633,124.3
92,1,0.9991,10.0,3.792,3.8942,130.8
93,0,0.9487,8.0,3.725,3.848,141.5
94,0,0.9724,8.0,3.654,3.8772,139.45
95,1,1.0189,8.0,3.753,3.9331,124.05
96,1,1.0106,9.0,3.782,3.9123,127.6
97,1,1.0156,8.0,3.766,3.9286,121.3
98,0,0.9541,8.0,3.612,3.8606,144.6
99,0,0.9725,10.5,3.745,3.9208,133.25
100,1,0.9852,8.0,3.7344,3.9286,116.134
101,1,1.0174,8.75,3.7688,3.9195,126.65
102,1,0.9608,8.0,3.741,3.9491,126.6
103,0,0.9939,8.0,3.672,3.9512,124.2
104,1,1.0165,8.6,3.8055,3.9138,126.1
105,1,0.9841,8.0,3.7451,3.9384,121.494
106,0,0.9862,8.0,3.7956,3.8773,139.174
