iter	RMSE
0	179.4372722
1	175.978003
2	172.3526152
3	169.4752221
4	167.0761692
5	164.0083425
6	161.4801847
7	158.6707766
8	155.8621285
9	153.1577693
10	151.217515
11	148.638191
12	146.0030602
13	143.7487791
14	141.3804031
15	138.9612951
16	136.6140517
17	134.283216
18	132.0859715
19	129.851416
20	127.4419805
21	125.3066271
22	123.5599602
23	121.5833346
24	119.643165
25	118.0222298
26	116.4391418
27	114.8253818
28	112.9190159
29	111.2778329
30	109.7045222
31	107.985552
32	106.1826736
33	104.5590962
34	103.0562066
35	101.4972581
36	99.97307288
37	98.56212345
38	97.28216956
39	96.04326761
40	94.78739143
41	93.40320106
42	92.30231396
43	91.17476077
44	89.79200939
45	88.51631899
46	87.59219231
47	86.51619576
48	85.2509872
49	84.10930085
50	82.94028457
51	82.1026136
52	81.01094713
53	80.01986433
54	78.98764346
55	78.10915763
56	77.19324956
57	76.1477546
58	75.21282346
59	74.30776968
60	73.45100402
61	72.57291646
62	71.71035834
63	70.94602562
64	70.00150066
65	69.03454042
66	68.1658406
67	67.45925141
68	66.63809539
69	65.8508638
70	65.2357816
71	64.57138635
72	63.84961195
73	63.23602575
74	62.55446568
75	61.97009725
76	61.26011583
77	60.62384399
78	59.95879233
79	59.35226966
80	58.79008627
81	58.15445976
82	57.50753358
83	56.99351638
84	56.47231851
85	55.95781744
86	55.41252054
87	54.9660576
88	54.49261203
89	53.97173378
90	53.52487672
91	53.0599565
92	52.62986483
93	52.20266447
94	51.75414575
95	51.35090857
96	50.92209485
97	50.50134423
98	50.10321193
99	49.75832293
100	49.38244726
101	48.88769375
102	48.43822522
103	48.09878771
104	47.78876287
105	47.37511473
106	47.1109815
107	46.73257936
108	46.44641124
109	46.09617072
110	45.75831989
111	45.39688008
112	45.16590244
113	44.83265815
114	44.54883392
115	44.2100851
116	43.9012159
117	43.64246391
118	43.40617904
119	43.08300712
120	42.81513355
121	42.5736044
122	42.31633318
123	42.1086858
124	41.8814924
125	41.50788024
126	41.24590428
127	41.02643495
128	40.83473518
129	40.58812726
130	40.35800198
131	40.14066124
132	39.91619591
133	39.65463358
134	39.49137333
135	39.30304491
136	39.08411416
137	38.82911501
138	38.6212788
139	38.44313261
140	38.30567951
141	38.10358654
142	37.85347979
143	37.66828224
144	37.4436363
145	37.24642907
146	37.05525064
147	36.7676899
148	36.60606915
149	36.45921896
150	36.10383338
151	35.98035641
152	35.77167159
153	35.6442822
154	35.42761029
155	35.26212056
156	35.1310564
157	34.93765936
158	34.80404373
159	34.65461136
160	34.54617763
161	34.34298515
162	34.3117224
163	34.16180938
164	34.01165197
165	33.67686995
166	33.57529427
167	33.39528191
168	33.2727192
169	33.05055402
170	32.90179876
171	32.83739875
172	32.71937487
173	32.5254049
174	32.45144735
175	32.27847744
176	32.10164225
177	31.9395105
178	31.82029937
179	31.76420834
180	31.64746476
181	31.55681567
182	31.39458662
183	31.3237947
184	31.2435218
185	31.14402888
186	30.91998127
187	30.83561341
188	30.56661676
189	30.46847646
190	30.37755238
191	30.23653748
192	30.16443476
193	30.10695597
194	30.03597647
195	29.95691471
196	29.82981888
197	29.75024261
198	29.66499658
199	29.49352777
200	29.26715161
201	29.18432902
202	29.11155594
203	29.0559576
204	29.01149708
205	28.94618861
206	28.89897154
207	28.80698685
208	28.75585632
209	28.61059198
210	28.53581706
211	28.48518662
212	28.45389624
213	28.43125605
214	28.39389888
215	28.37538532
216	28.31815198
217	28.26108545
218	28.19921385
219	28.16834136
220	28.11311879
221	28.05337965
222	28.00533276
223	27.8775478
224	27.80900213
225	27.74447182
226	27.65333555
227	27.62855719
228	27.5732729
229	27.51901098
230	27.27457841
231	27.22315467
232	27.2038077
233	27.16095179
234	27.10252357
235	27.04487145
236	27.01731366
237	26.98254645
238	26.70959275
239	26.66521413
240	26.62153975
241	26.59269996
242	26.52792035
243	26.27544388
244	26.25446207
245	26.23325724
246	26.16403821
247	26.097668
248	26.06854076
249	26.04478935
250	26.00772107
251	25.97368805
252	25.95458436
253	25.92982109
254	25.89441857
255	25.84669834
256	25.83329711
257	25.79079567
258	25.75444129
259	25.70970709
260	25.65667125
261	25.42066258
262	25.37754061
263	25.36346744
264	25.32216607
265	25.27138119
266	25.24013094
267	25.20982289
268	25.16036479
269	25.14120937
270	25.12811747
271	25.08074107
272	25.04379727
273	25.02661405
274	24.99140352
275	24.79730462
276	24.77706951
277	24.74867952
278	24.72074166
279	24.70868495
280	24.69452236
281	24.67866645
282	24.6518341
283	24.63638923
284	24.44700597
285	24.43530547
286	24.42377754
287	24.2386585
288	24.22529645
289	24.2072524
290	24.17595065
291	24.15857962
292	24.14656889
293	24.12197503
294	23.94094304
295	23.89354503
296	23.88212976
297	23.85643778
298	23.81134942
299	23.78786596
300	23.77750472
301	23.60119182
302	23.58547392
303	23.56319536
304	23.54932612
305	23.53922492
306	23.36705563
307	23.35355706
308	23.18544393
309	23.14358473
310	23.10354188
311	23.06514518
312	23.05322653
313	23.04075935
314	23.01761103
315	22.85399221
316	22.84426639
317	22.80103933
318	22.77882106
319	22.60765217
320	22.57217068
321	22.53584796
322	22.5156717
323	22.50467269
324	22.337282
325	22.29870154
326	22.28964138
327	22.28049905
328	22.12660749
329	22.08631572
330	22.05165379
331	22.01575631
332	21.98050616
333	21.8210877
334	21.72543106
335	21.71503544
336	21.68156617
337	21.6715533
338	21.57657166
339	21.56485128
340	21.55522454
341	21.46362491
342	21.42622452
343	21.38915433
344	21.30307769
345	21.29386811
346	21.21087043
347	21.14036984
348	21.10553738
349	21.03740045
350	20.9713316
351	20.93822949
352	20.87437629
353	20.86739776
354	20.80559709
355	20.7881834
356	20.72826424
357	20.69384164
358	20.63567737
359	20.60483848
360	20.5486329
361	20.46638319
362	20.41217896
363	20.38295449
364	20.30379498
365	20.25169474
366	20.17542436
367	20.12517404
368	20.05168673
369	20.00321819
370	19.93241172
371	19.90330366
372	19.85648783
373	19.8139829
374	19.78581292
375	19.71487298
376	19.64796939
377	19.61575591
378	19.57170341
379	19.54503025
380	19.50138206
381	19.43374341
382	19.30362243
383	19.24080607
384	19.21551529
385	19.17391068
386	19.1012427
387	19.06040578
388	18.97483389
389	18.90544534
390	18.86953054
391	18.80276776
392	18.67520832
393	18.60595234
394	18.54320824
395	18.49851108
396	18.43758756
397	18.40003927
398	18.28002029
399	18.22272237
400	18.15843379
401	18.09400148
402	18.03758663
403	17.92481895
404	17.88164289
405	17.84011452
406	17.80016857
407	17.7397868
408	17.67572768
409	17.61293833
410	17.55123421
411	17.44233294
412	17.38185202
413	17.27658833
414	17.21730599
415	17.15896738
416	17.05730339
417	17.00290574
418	16.94588538
419	16.88977622
420	16.83471276
421	16.73699762
422	16.68303527
423	16.58205772
424	16.53893455
425	16.49647346
426	16.44506832
427	16.40692284
428	16.36410931
429	16.3268791
430	16.28235661
431	16.24040994
432	16.19711482
433	16.16154652
434	16.11986293
435	16.07835771
