Index,TE ,C,Cr,W,Si,Mn,V,Ta,Zr,Y,Ti,N,NT ,Nt ,TT ,Tt ,Ttest 
162,15.43,0.08,9.04,1,0.09,0.55,0.22,0.06,0,0,0.005,0.0226,980,30,763,90,100
23,13,0.11,9.3,1.51,0.06,0.45,0.21,0.15,0,0.014,0.008,0,1050,30,650,90,550
156,15.9,0.12,8.93,1.07,0.06,0.47,0.2,0.14,0,0,0.009,0.018,980,27,760,90,25
196,17.7,0.08,9.04,1,0.09,0.55,0.22,0.06,0,0,0.005,0.0226,980,30,763,90,550
78,25.2,0.11,9.2,1.5,0.05,0.45,0.22,0.14,0.003,0.005,0,0.0034,1050,30,750,90,650
105,26.3,0.1,9.1,1.49,0.06,0.44,0.22,0.15,0.002,0.011,0,0.0031,1050,30,750,90,650
185,16.67,0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.01,0.0027,1050,30,750,90,500
163,16.1,0.1,9.1,1.49,0.06,0.44,0.22,0.15,0.002,0.011,0,0.0031,1050,30,750,90,500
119,17.5,0.098,8.99,2,0.05,0.5,0.2,0.098,0,0,0.002,0.0149,1050,60,780,30,500
234,30.3,0.12,8.79,2.01,0.22,0.52,0.24,0.11,0,0,0,0,1050,60,750,120,600
131,14.6,0.1,8.72,2.09,0.23,0.43,0.23,0.07,0,0,0,0,1050,60,750,120,325
86,15,0.1,9.3,0.93,0.11,0.4,0.22,0.094,0,0,0,0.002,1000,60,750,120,25
205,14.6,0.12,8.99,2.06,0.06,0.65,0.24,0.06,0,0,0.005,0.02,980,30,763,90,300
113,13.85,0.08,9.04,1,0.09,0.55,0.22,0.06,0,0,0.005,0.0226,980,30,763,90,300
24,23,0.1,9.3,0.95,0.13,0.41,0.23,0,0,0,0.056,0.002,1000,60,750,120,25
213,22.3,0.11,9.2,1.48,0.05,0.46,0.22,0.14,0,0,0,0.0154,1100,30,740,90,650
207,14.7,0.11,9.2,1.51,0.05,0.44,0.22,0.15,0,0.013,0,0,1050,30,650,90,600
181,12.35,0.11,9.3,1.51,0.06,0.45,0.21,0.15,0,0.014,0.008,0,1050,30,650,90,500
54,27.6,0.1,8.85,1.99,0.05,0.45,0.2,0.08,0,0,0,0.0231,1050,60,780,60,25
144,19.6,0.12,8.99,2.06,0.06,0.65,0.24,0.06,0,0,0.005,0.02,980,30,763,90,600
227,16.3,0.1,9.1,1.49,0.05,0.46,0.22,0.15,0.002,0.001,0,0.0032,1050,30,750,90,550
64,18.3,0.098,8.99,2,0.05,0.5,0.2,0.098,0,0,0.002,0.0149,1050,60,780,30,300
239,26,0.093,7.95,1.87,0.11,0.45,0.21,0.03,0,0,0.001,0.003,1040,40,750,60,25
160,14.2,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,30,763,90,300
193,18.11,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,30,763,90,100
7,16.7,0.11,9.4,1.35,0.05,0.45,0.21,0.073,0,0.036,0,0.0022,1050,30,750,90,300
17,11.6,0.13,8.94,1.45,0,0.44,0.19,0.15,0,0,0,0,980,30,760,90,500
