Index,HV,Al,Co,Cr,Cu,Fe,Ni
1,473,18.2,9.1,18.2,18.2,18.2,18.2
2,367,18.2,18.2,9.1,18.2,18.2,18.2
5,168,5.3,21.1,21.1,0,26.3,26.3
6,225,12.5,12.5,12.5,0,12.5,50
38,550,23.8,5,23.8,0,23.8,23.8
44,617,16.7,16.7,33.3,0,16.7,16.7
45,712,25,25,25,0,0,25
52,775,40,20,20,0,20,0
