iter	MultiClass
0	1.087803128
1	1.074954945
2	1.063729122
3	1.051644378
4	1.039482945
5	1.027220658
6	1.016097442
7	1.004638236
8	0.992880636
9	0.9824233593
10	0.9723431281
11	0.9612146971
12	0.9505549806
13	0.9393641884
14	0.9295737684
15	0.9202504581
16	0.9110113603
17	0.9025570241
18	0.8935835887
19	0.8833077388
20	0.8750946225
21	0.8661751166
22	0.8572674223
23	0.8478251804
24	0.8385015998
25	0.8293258321
26	0.8210889748
27	0.8129096757
28	0.80501711
29	0.7963115568
30	0.7894641184
31	0.7814092553
32	0.7734668731
33	0.7663853546
34	0.7596861213
35	0.7523075618
36	0.7453707281
37	0.7378603402
38	0.7307827683
39	0.7228381164
40	0.7172894922
41	0.7104758765
42	0.7038784897
43	0.6969065411
44	0.6906005705
45	0.6848169416
46	0.6790005497
47	0.6725088239
48	0.6668685628
49	0.6609150114
50	0.6550615428
51	0.6503910328
52	0.6446211519
53	0.6390782015
54	0.6332711869
55	0.6270859241
56	0.6218764969
57	0.6163206144
58	0.6107927112
59	0.6063522453
60	0.6014305511
61	0.5961109626
62	0.5907557069
63	0.5852204986
64	0.5804274254
65	0.5762284861
66	0.571532178
67	0.5661795041
68	0.561711385
69	0.5569065657
70	0.5528353828
71	0.5481601699
72	0.5434297366
73	0.5381821955
74	0.5338090075
75	0.529383627
76	0.5252153397
77	0.5210393904
78	0.5169552187
79	0.5123702891
80	0.5086802431
81	0.5044352716
82	0.5001986729
83	0.4961481794
84	0.4924434782
85	0.4881670661
86	0.4839543562
87	0.4801676109
88	0.476640816
89	0.4731129042
90	0.4694432098
91	0.4657845764
92	0.4622330049
93	0.4585024632
94	0.4549838269
95	0.4514660049
96	0.448229357
97	0.4447422368
98	0.4414127037
99	0.4377414928
100	0.434128124
101	0.4301829446
102	0.4268690424
103	0.4237009757
104	0.4200630234
105	0.4167594282
106	0.4140560863
107	0.4108668097
108	0.4075968643
109	0.4047153399
110	0.4018286461
111	0.398884342
112	0.3961176885
113	0.3934828092
114	0.3904148544
115	0.3877320492
116	0.3851678094
117	0.3824344565
118	0.3800412463
119	0.3775481433
120	0.3749657439
121	0.3724341518
122	0.3698117729
123	0.3675017064
124	0.3650133914
125	0.3626392007
126	0.3601454968
127	0.357863419
128	0.355140971
129	0.3525502212
130	0.3500916552
131	0.3477031111
132	0.3453217652
133	0.3426554407
134	0.3405210627
135	0.3382910212
136	0.3362263941
137	0.3342527742
138	0.3317704507
139	0.3295784691
140	0.3274322508
141	0.3250649875
142	0.3228018684
143	0.3207028226
144	0.3182310532
145	0.3163583822
146	0.31454661
147	0.3124179368
148	0.3103081624
149	0.3080079402
150	0.3061754038
151	0.3042991043
152	0.3020203205
153	0.3001168983
154	0.2985028511
155	0.2965845405
156	0.2946825693
157	0.2925673532
158	0.2906641751
159	0.2889183644
160	0.2870037833
161	0.2851512917
162	0.2832259841
163	0.2817317547
164	0.2802255665
165	0.2785605966
166	0.2766667052
167	0.2747581029
168	0.2729642784
169	0.2714314382
170	0.2695775187
171	0.267788765
172	0.2664365303
173	0.2647212468
174	0.2629218313
175	0.2614028921
176	0.2597480058
177	0.258443236
178	0.2569210225
179	0.2551517212
180	0.2535523612
181	0.2521988558
182	0.2505841727
183	0.2491210626
184	0.2474462851
185	0.2459550875
186	0.244214973
187	0.2426194613
188	0.2411147057
189	0.239459656
190	0.2379220688
191	0.2365225852
192	0.2353283323
193	0.234079602
194	0.2326408499
195	0.2310950515
196	0.22972495
197	0.2284453639
198	0.2271788893
199	0.2258616376
200	0.2246195897
201	0.2235938622
202	0.2222608431
203	0.2207972906
204	0.2193730521
205	0.2178807046
206	0.2166926316
207	0.2153495504
208	0.2140380446
209	0.2126058961
210	0.2113229525
211	0.2100488711
212	0.2088232622
213	0.2075797068
214	0.2065003088
215	0.2052163738
216	0.2041785269
217	0.2029162795
218	0.2018298115
219	0.2005644479
220	0.1994852397
221	0.1984973
222	0.1975591351
223	0.1963451126
224	0.1952237485
225	0.1941265512
226	0.1929171491
227	0.1918222629
228	0.1907328583
229	0.1896024598
230	0.1884221498
231	0.1872922711
232	0.1864159722
233	0.1852967322
234	0.1844660508
235	0.1834263461
236	0.1824611032
237	0.1814617066
238	0.180580751
239	0.1796066363
240	0.1787908575
241	0.1780203427
242	0.1770832677
243	0.1760618354
244	0.1752587586
245	0.1744317109
246	0.1736330739
247	0.1727409318
248	0.1717841771
249	0.1708797254
250	0.1700089128
251	0.1689528481
252	0.1679041945
253	0.1670201238
254	0.1660560917
255	0.1652277057
256	0.1643331671
257	0.1637104715
258	0.1629575539
259	0.162116144
