index,Formability,Tolerance_Factor,Valence_Electron_Number,Martynov_Batsanov_Electronegativity,Ideal_Bond_Length_Sum,Mendeleev_Number
43,1,1.0174,8.75,3.7688,3.9195,126.65
187,1,0.9831,8,3.7347,3.9356,117.21
122,1,0.9873,9,3.754,3.9155,122.2
169,0,0.9345,8,3.668,3.9398,102.4
137,1,1.0053,9,3.766,3.9245,127.7
190,1,1.0162,9.176,3.7948,3.8905,127.928
76,0,1.0022,8,3.699,3.9452,124.15
174,1,0.9841,8,3.7451,3.9384,121.494
10,0,0.977,8,3.6645,3.8814,138.1625
5,1,1.0068,8,3.762,3.9243,121.75
181,1,0.9889,8,3.7575,3.9398,125.5
14,1,1.0089,8,3.738,3.9104,129.15
163,1,1.004,8,3.752,3.9302,118.6
136,1,1.0163,8.5,3.773,3.9258,125.85
117,0,0.9856,10.5,3.785,3.8903,133
31,1,0.9879,10.2,3.8735,3.8786,131.7
40,1,0.9804,9.25,3.7525,3.9105,121.5
4,1,0.9966,8,3.753,3.9229,120.625
95,1,0.98,8,3.7193,3.9189,132.1
85,1,0.9846,8,3.7424,3.9372,120.15
91,1,1.0214,8,3.786,3.9167,127.6
128,0,0.9706,8,3.7235,3.9087,121.245
98,1,1.0062,8,3.753,3.9234,127.6
92,1,1.0022,9.5,3.783,3.905,129.4
121,0,0.9523,12.5,3.789,3.8609,140.2
176,1,0.9857,8,3.7499,3.939,123.0808
29,1,0.9951,9.8,3.8565,3.8874,130.3
51,1,0.9788,11.45,3.8007,3.8704,135.73
45,0,1.0056,9.65,3.7553,3.9106,129.83
118,0,0.9773,11,3.786,3.8829,134.8
17,1,1.0021,9.605,3.8427,3.903,129.514
25,1,1.0094,9,3.8225,3.905,127.5
33,0,0.9808,10.6,3.8905,3.8698,133.1
116,0,0.9939,10,3.784,3.8976,131.2
55,1,0.9759,11.65,3.8019,3.8671,136.41
0,0,0.9813,8,3.7395,3.9208,118.9375
100,0,0.9487,8,3.725,3.848,141.5
138,1,0.9944,9.5,3.759,3.9233,129.55
26,1,1.0058,9.2,3.831,3.9006,128.2
74,1,1.0189,8,3.753,3.9331,124.05
6,0,0.9541,8,3.612,3.8606,144.6
106,0,0.9854,8,3.777,3.9477,135.1
180,1,0.9854,8,3.7533,3.9402,124.69
57,1,0.9852,8,3.7344,3.9286,116.134
142,1,1.0179,7.999,3.7708,3.9202,126.307
157,1,0.9582,8,3.7395,3.95,126.7
113,1,1.0061,9.2,3.9,3.8967,128.2
24,1,1.0129,8.8,3.814,3.9094,126.8
30,1,0.9915,10,3.865,3.883,131
46,0,0.9879,11,3.735,3.8971,134.6
139,0,0.9835,10,3.752,3.922,131.4
147,0,0.9807,7.995,3.7338,3.893,135.535
145,0,0.99,7.996,3.743,3.8998,133.228
103,0,1.0063,8,3.7785,3.9374,129.55
54,1,0.9766,11.6,3.8016,3.868,136.24
7,0,0.9633,8,3.633,3.8689,142.025
115,1,1.0202,8.4,3.82,3.9169,125.4
1,0,0.9864,8,3.744,3.9215,119.5
20,1,1.0188,8.535,3.8009,3.919,125.838
172,0,0.9862,8,3.7956,3.8773,139.174
146,0,0.9807,7.995,3.7338,3.893,135.535
162,1,1.0156,8,3.766,3.9286,121.3
70,1,0.9801,8,3.747,3.8796,134.5
9,0,0.9724,8,3.654,3.8772,139.45
127,0,0.9673,9.5,3.741,3.9098,121.3
93,1,1.0106,9,3.782,3.9123,127.6
80,0,0.944,8,3.51,3.9875,124.5
41,1,0.9757,9.375,3.7498,3.9089,121.25
82,1,0.9663,8,3.7263,3.9416,118.5
178,1,0.9917,8,3.7571,3.9382,124.4713
89,1,1.0127,8,3.795,3.9013,133
188,0,0.9812,11.689,3.8105,3.8481,136.467
59,1,0.9863,8,3.7382,3.9263,117.331
166,0,0.9693,8,3.71,3.935,110.5
38,1,0.9841,9.15,3.7547,3.9118,121.7
96,1,0.9852,8,3.726,3.9198,131.2
60,1,1.0272,8,3.78,3.927,124
21,1,1.0236,8.2,3.7885,3.9226,124.7
97,1,0.9905,8,3.7328,3.9207,130.3
