Index,Formability,Tolerance_Factor,Valence_Electron_Number,Martynov_Batsanov_Electronegativity,Ideal_Bond_Length_Sum,Mendeleev_Number
90,1,0.9808,8.0,3.7477,3.9409,123.61
91,1,0.9608,8.0,3.741,3.9491,126.6
92,1,0.9991,9.6,3.94,3.8866,129.6
93,1,0.9832,9.175,3.7542,3.9115,121.65
94,0,0.9745,8.0,3.7274,3.91,121.435
95,0,0.9223,8.0,3.645,3.909,142.0
96,0,0.9777,11.345,3.7774,3.8967,135.87
97,1,1.0132,8.8,3.86,3.9068,126.8
98,0,1.004,8.0,3.804,3.8858,138.4
99,0,0.9577,8.0,3.696,3.9366,107.8
100,1,0.9998,8.0,3.717,3.9021,131.725
101,1,1.0105,9.07,3.8218,3.911,127.676
102,1,1.0174,8.75,3.7688,3.9195,126.65
103,1,0.9831,8.0,3.7347,3.9356,117.21
104,1,0.9873,9.0,3.754,3.9155,122.2
105,0,0.9345,8.0,3.668,3.9398,102.4
106,1,1.0053,9.0,3.766,3.9245,127.7
107,1,1.0162,9.176,3.7948,3.8905,127.928
108,0,1.0022,8.0,3.699,3.9452,124.15
109,1,0.9841,8.0,3.7451,3.9384,121.494
110,0,0.977,8.0,3.6645,3.8814,138.1625
111,1,1.0068,8.0,3.762,3.9243,121.75
112,1,0.9889,8.0,3.7575,3.9398,125.5
113,1,1.0089,8.0,3.738,3.9104,129.15
114,1,1.004,8.0,3.752,3.9302,118.6
115,1,1.0163,8.5,3.773,3.9258,125.85
116,0,0.9856,10.5,3.785,3.8903,133.0
117,1,0.9879,10.2,3.8735,3.8786,131.7
118,1,0.9804,9.25,3.7525,3.9105,121.5
119,1,0.9759,11.65,3.8019,3.8671,136.41
120,0,0.9813,8.0,3.7395,3.9208,118.9375
121,0,0.9487,8.0,3.725,3.848,141.5
122,1,0.9944,9.5,3.759,3.9233,129.55
123,1,1.0058,9.2,3.831,3.9006,128.2
124,1,1.0189,8.0,3.753,3.9331,124.05
125,0,0.9541,8.0,3.612,3.8606,144.6
126,0,0.9854,8.0,3.777,3.9477,135.1
127,1,0.9854,8.0,3.7533,3.9402,124.69
144,0,0.9862,8.0,3.7956,3.8773,139.174
146,1,1.0156,8.0,3.766,3.9286,121.3
147,1,0.9801,8.0,3.747,3.8796,134.5
148,0,0.9724,8.0,3.654,3.8772,139.45
149,0,0.9673,9.5,3.741,3.9098,121.3
150,1,1.0106,9.0,3.782,3.9123,127.6
151,0,0.944,8.0,3.51,3.9875,124.5
152,1,0.9757,9.375,3.7498,3.9089,121.25
