Subfolder,First_Value
4 Split,0.966027875
3 Split,0.970905923
9 Split,0.971080139
10 Split,0.973170732
5 Split,0.973635308
2 Split,0.975783972
6 Split,0.975842044
7 Split,0.975900116
8 Split,0.97601626
1 Split,0.978222997
