Index,Formability,Tolerance_Factor,Valence_Electron_Number,Martynov_Batsanov_Electronegativity,Ideal_Bond_Length_Sum,Mendeleev_Number
89,1,1.0201,8.4,3.797,3.9182,125.4
90,1,1.0174,8.75,3.7688,3.9195,126.65
91,1,0.9998,8.0,3.717,3.9021,131.725
92,1,0.9851,11.0,3.798,3.8778,134.2
93,1,0.971,12.0,3.804,3.8614,137.6
94,1,0.9907,8.0,3.696,3.8938,134.3
95,1,0.9993,7.997,3.7523,3.9066,130.921
96,0,0.9736,11.0,3.9075,3.861,134.5
97,1,0.9841,8.0,3.7451,3.9384,121.494
98,1,1.0068,8.0,3.762,3.9243,121.75
99,0,0.9772,10.8,3.899,3.8654,133.8
100,1,1.0057,8.0,3.7715,3.9152,125.5975
101,0,1.0022,8.0,3.699,3.9452,124.15
102,1,0.9804,8.0,3.7332,3.9119,121.72
103,1,1.0105,9.07,3.8218,3.911,127.676
104,1,0.957,8.0,3.7388,3.9504,126.75
105,0,0.9673,9.5,3.741,3.9098,121.3
106,1,0.9889,8.0,3.7575,3.9398,125.5
