Subfolder,First_Value
6 Split,0.864545455
9 Split,0.875454545
8 Split,0.878181818
4 Split,0.883636364
5 Split,0.886363636
10 Split,0.894545455
7 Split,0.897272727
2 Split,0.903636364
3 Split,0.904545455
1 Split,0.931818182
