Index,TE ,C,Cr,W,Si,Mn,V,Ta,Zr,Y,Ti,N,NT ,Nt ,TT ,Tt ,Ttest 
88,18.6,0.11,9.2,1.5,0.05,0.45,0.22,0.14,0.003,0.005,0,0.0034,1050,30,750,90,600
183,13.66,0.11,9.2,1.51,0.05,0.44,0.22,0.15,0,0.013,0,0,1050,30,650,90,550
121,15.47,0.11,9.2,1.5,0.05,0.45,0.22,0.15,0.013,0.043,0,0.0157,1050,30,750,90,500
12,13.85,0.08,9.04,1,0.09,0.55,0.22,0.06,0,0,0.005,0.0226,980,30,763,90,300
108,20.44,0.11,9.3,1.51,0.06,0.45,0.22,0.15,0,0.046,0,0.0153,1050,30,650,90,650
245,18.3,0.097,8.99,2.01,0.049,0.5,0.2,0.1,0,0,0.002,0.015,1050,60,780,30,500
98,14.2,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,15,765,90,300
27,14.68,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,30,763,90,500
171,22.1,0.11,9.2,1.51,0.05,0.44,0.22,0.15,0,0.013,0,0,1050,30,650,90,25
244,17.5,0.098,8.99,2,0.05,0.5,0.2,0.098,0,0,0.002,0.0149,1050,60,780,30,500
73,15.7,0.092,8.87,1.71,0.01,0.28,0.19,0.002,0,0,0,0,1050,30,750,90,25
214,17,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0,0,0,0.002,1000,40,740,90,300
267,28,0.099,7.88,1.78,0.1,0.45,0.19,0.093,0,0,0.001,0.0098,1040,40,750,60,600
218,21.3,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0,0,0,0.002,1000,40,740,90,500
14,12.2,0.08,9.04,1,0.09,0.55,0.22,0.06,0,0,0.005,0.0226,980,30,763,90,400
166,23.6,0.11,9.3,1.51,0.06,0.45,0.22,0.15,0,0.253,0,0.0153,1100,30,740,90,25
7,24.1,0.11,8.7,1,0,0.44,0.19,0.1,0,0,0,0,980,27,760,90,600
193,28,0.1,9.2,1.5,0.05,0.44,0.22,0.15,0,0.014,0.025,0,1050,30,650,90,650
259,17.3,0.099,7.88,1.78,0.1,0.45,0.19,0.093,0,0,0.001,0.0098,1040,40,750,60,200
18,18,0.08,9.04,1,0.09,0.55,0.22,0.06,0,0,0.005,0.0226,980,30,763,90,600
62,23.5,0.11,9.4,1.35,0.05,0.46,0.22,0.071,0,0.006,0,0.0023,1050,30,750,90,650
137,14.6,0.1,8.72,2.09,0.23,0.43,0.23,0.07,0,0,0,0,1050,60,750,120,325
55,31.34,0.12,8.84,2.05,0.77,0.51,0.24,0.11,0,0,0,0,1050,60,750,120,550
22,14.38,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,30,763,90,250
138,14,0.1,8.85,1.99,0.05,0.45,0.2,0.08,0,0,0,0.0231,1050,60,780,60,325
31,17.1,0.12,8.99,2.06,0.06,0.65,0.24,0.06,0,0,0.005,0.02,980,30,763,90,100
99,13.2,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,15,765,90,400
33,14.2,0.12,8.99,2.06,0.06,0.65,0.24,0.06,0,0,0.005,0.02,980,30,763,90,250
96,17.2,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,15,765,90,25
109,17.4,0.11,9.3,1.51,0.06,0.45,0.22,0.15,0,0.046,0,0.0153,1050,30,750,90,25
167,16,0.11,9.2,1.5,0.05,0.45,0.22,0.15,0,0.255,0.093,0.0157,1100,30,740,90,25
228,14,0.12,8.91,2.03,0.01,0.01,0.26,0.069,0,0,0.05,0,1050,30,750,60,25
158,27.43,0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.03,0.003,1050,30,750,90,650
77,13.5,0.092,8.87,1.71,0.01,0.28,0.19,0.002,0,0,0,0,1050,30,750,90,500
40,19.6,0.12,8.99,2.06,0.06,0.65,0.24,0.06,0,0,0.005,0.02,980,30,763,90,600
156,22,0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0.03,0.003,1050,30,750,90,550
227,18,0.09,9,1.98,0,0.49,0.2,0.083,0,0,0,0.015,1050,60,780,60,600
222,17,0.12,8.91,1.44,0,0.49,0.2,0.15,0,0,0,0,980,30,760,90,400
213,17,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0,0,0,0.002,1000,40,740,90,250
101,22.8,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0,0,0.005,0.03,980,15,765,90,600
219,25,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0,0,0,0.002,1000,40,740,90,550
143,15.8,0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0,0.0028,1050,30,750,90,500
130,20.2,0.11,8.9,2.01,0.21,0.44,0.23,0.06,0,0,0.01,0,1040,60,760,60,25
176,12.63,0.11,9.3,1.51,0.06,0.45,0.21,0.15,0,0.014,0.008,0,1050,30,650,90,300
91,13.5,0.1,9.1,1.49,0.06,0.44,0.22,0.15,0.002,0.011,0,0.0031,1050,30,750,90,300
144,17.35,0.11,9,1.5,0.05,0.45,0.2,0.15,0,0.015,0,0.0028,1050,30,750,90,550
125,15.9,0.12,8.93,1.07,0.06,0.47,0.2,0.14,0,0,0.009,0.018,980,27,760,90,25
35,15.13,0.12,8.99,2.06,0.06,0.65,0.24,0.06,0,0,0.005,0.02,980,30,763,90,350
