Index,HV,Al,Co,Cr,Cu,Fe,Ni
114,430,25.0,25.0,0.0,0.0,25.0,25.0
115,516,20.0,20.0,20.0,0.0,20.0,20.0
116,764,43.0,6.0,33.0,6.0,6.0,6.0
117,591,42.9,14.3,7.1,7.1,7.1,21.4
118,701,42.9,21.4,7.1,7.1,7.1,14.3
119,768,40.0,13.3,6.7,13.3,20.0,6.7
120,702,46.2,15.4,7.7,7.7,15.4,7.7
121,720,42.9,14.3,14.3,7.1,7.1,14.3
122,537,16.7,16.7,16.7,8.3,25.0,16.7
123,514,15.4,15.4,15.4,7.7,30.8,15.4
124,604,20.0,20.0,20.0,10.0,20.0,10.0
