Index,TE ,C,Cr,W,Si,Mn,V,Ta,Zr,Y,Ti,N,NT ,Nt ,TT ,Tt ,Ttest 
51,22.0,0.098,8.99,2.0,0.05,0.5,0.2,0.098,0.0,0.0,0.002,0.0149,1050,60,780,30,25
52,17.4,0.11,9.4,1.35,0.05,0.45,0.21,0.073,0.0,0.036,0.0,0.0022,1050,30,750,90,25
53,24.0,0.09,9.0,1.98,0.0,0.49,0.2,0.083,0.0,0.0,0.0,0.015,1050,60,780,60,25
54,27.6,0.1,8.85,1.99,0.05,0.45,0.2,0.08,0.0,0.0,0.0,0.0231,1050,60,780,60,25
55,16.3,0.099,7.88,1.78,0.1,0.45,0.19,0.093,0.0,0.0,0.001,0.0098,1040,40,750,60,250
56,12.65,0.08,9.04,1.0,0.09,0.55,0.22,0.06,0.0,0.0,0.005,0.0226,980,30,763,90,450
57,15.6,0.1,8.92,2.02,0.01,0.01,0.26,0.069,0.0,0.0,0.04,0.0,1050,30,750,60,25
58,30.0,0.11,8.86,2.07,0.05,0.5,0.24,0.11,0.0,0.0,0.0,0.0,1050,60,750,120,600
59,15.1,0.11,9.4,1.35,0.05,0.46,0.22,0.071,0.0,0.006,0.0,0.0023,1050,30,750,90,300
60,25.2,0.11,9.2,1.5,0.05,0.45,0.22,0.14,0.003,0.005,0.0,0.0034,1050,30,750,90,25
61,24.4,0.12,8.79,2.01,0.22,0.52,0.24,0.11,0.0,0.0,0.0,0.0,1050,60,750,120,500
62,18.0,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0.0,0.0,0.0,0.002,1000,40,740,90,150
63,13.82,0.11,9.2,1.51,0.06,0.45,0.22,0.15,0.0,0.015,0.039,0.0,1050,30,650,90,500
64,18.3,0.098,8.99,2.0,0.05,0.5,0.2,0.098,0.0,0.0,0.002,0.0149,1050,60,780,30,300
65,15.0,0.09,8.8,1.02,0.13,0.44,0.21,0.089,0.0,0.0,0.014,0.002,1000,30,650,90,25
66,18.0,0.09,8.8,1.02,0.13,0.44,0.21,0.089,0.0,0.0,0.014,0.002,1000,30,700,90,25
67,13.0,0.1,9.3,0.93,0.11,0.4,0.22,0.094,0.0,0.0,0.0,0.002,1000,60,650,120,25
68,12.9,0.08,9.04,1.0,0.09,0.55,0.22,0.06,0.0,0.0,0.005,0.0226,980,30,763,90,500
69,16.0,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0.0,0.0,0.0,0.002,1000,40,740,90,350
70,23.0,0.12,8.84,2.05,0.77,0.51,0.24,0.11,0.0,0.0,0.0,0.0,1050,60,750,120,25
71,15.4,0.08,9.04,1.0,0.09,0.55,0.22,0.06,0.0,0.0,0.005,0.0226,980,30,763,90,200
72,29.37,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.03,0.003,1050,30,750,90,25
73,23.18,0.11,9.3,1.51,0.06,0.45,0.22,0.15,0.0,0.046,0.0,0.0153,1050,30,750,90,650
74,18.0,0.11,9.0,1.5,0.05,0.45,0.2,0.15,0.0,0.015,0.01,0.0027,1050,30,750,90,550
75,17.0,0.08,9.04,1.0,0.09,0.55,0.22,0.06,0.0,0.0,0.005,0.0226,980,30,763,90,25
76,21.4,0.11,9.3,1.51,0.06,0.45,0.21,0.15,0.0,0.014,0.008,0.0,1050,30,650,90,25
77,19.2,0.11,9.4,1.35,0.05,0.45,0.21,0.073,0.0,0.036,0.0,0.0022,1050,30,750,90,500
78,25.2,0.11,9.2,1.5,0.05,0.45,0.22,0.14,0.003,0.005,0.0,0.0034,1050,30,750,90,650
79,23.5,0.11,8.86,2.07,0.05,0.5,0.24,0.11,0.0,0.0,0.0,0.0,1050,60,750,120,500
80,16.8,0.12,8.99,2.06,0.06,0.65,0.24,0.06,0.0,0.0,0.005,0.02,980,30,763,90,200
81,23.3,0.1,8.74,0.94,0.09,0.23,0.18,0.06,0.009,0.0,0.005,0.004,1000,40,750,70,25
82,20.0,0.096,8.97,2.01,0.05,0.49,0.2,0.14,0.0,0.0,0.002,0.0151,1050,60,780,30,600
83,16.0,0.092,8.87,1.71,0.01,0.28,0.19,0.002,0.0,0.0,0.0,0.0,1050,30,750,90,600
84,14.0,0.09,9.0,1.06,0.13,0.43,0.23,0.075,0.0,0.0,0.0,0.0036,1000,30,650,90,25
85,15.73,0.096,8.97,2.01,0.05,0.49,0.2,0.14,0.0,0.0,0.002,0.0151,1050,60,780,30,400
86,15.0,0.1,9.3,0.93,0.11,0.4,0.22,0.094,0.0,0.0,0.0,0.002,1000,60,750,120,25
87,19.0,0.12,8.91,1.44,0.0,0.49,0.2,0.15,0.0,0.0,0.0,0.0,980,30,760,90,600
88,23.8,0.1,8.85,1.99,0.05,0.45,0.2,0.08,0.0,0.0,0.0,0.0231,1050,60,780,60,400
89,12.32,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0.0,0.0,0.005,0.03,980,30,763,90,350
90,15.1,0.11,9.2,1.51,0.06,0.45,0.22,0.15,0.0,0.015,0.039,0.0,1050,30,650,90,550
91,18.1,0.1,9.1,1.49,0.05,0.46,0.22,0.15,0.002,0.001,0.0,0.0032,1050,30,750,90,600
92,13.0,0.1,9.2,1.5,0.05,0.44,0.22,0.15,0.0,0.014,0.025,0.0,1050,30,650,90,500
93,16.2,0.11,9.4,1.35,0.05,0.46,0.22,0.071,0.0,0.006,0.0,0.0023,1050,30,750,90,25
94,17.3,0.098,9.3,0.97,0.02,0.6,0.24,0.0,0.0,0.0,0.0,0.055,1050,120,750,120,25
95,12.3,0.1,8.72,2.09,0.23,0.43,0.23,0.07,0.0,0.0,0.0,0.0,1050,30,750,60,25
96,23.9,0.11,9.2,1.51,0.06,0.45,0.22,0.15,0.0,0.015,0.039,0.0,1050,30,650,90,25
97,22.75,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0.0,0.0,0.005,0.03,980,30,763,90,600
98,12.7,0.13,8.94,1.45,0.0,0.44,0.19,0.15,0.0,0.0,0.0,0.0,980,30,760,90,550
99,20.0,0.12,9.11,1.52,0.03,0.41,0.19,0.2,0.0,0.0,0.0,0.002,1000,40,740,90,100
100,27.0,0.099,7.88,1.78,0.1,0.45,0.19,0.093,0.0,0.0,0.001,0.0098,1040,40,750,60,550
101,15.8,0.11,9.3,1.51,0.06,0.45,0.22,0.15,0.0,0.046,0.0,0.0153,1050,30,650,90,25
102,23.2,0.11,9.4,1.35,0.05,0.45,0.21,0.073,0.0,0.036,0.0,0.0022,1050,30,750,90,600
103,29.72,0.11,9.2,1.5,0.05,0.45,0.22,0.15,0.013,0.043,0.0,0.0157,1050,30,650,90,650
130,23.5,0.11,9.4,1.35,0.05,0.46,0.22,0.071,0.0,0.006,0.0,0.0023,1050,30,750,90,650
131,14.6,0.1,8.72,2.09,0.23,0.43,0.23,0.07,0.0,0.0,0.0,0.0,1050,60,750,120,325
132,31.34,0.12,8.84,2.05,0.77,0.51,0.24,0.11,0.0,0.0,0.0,0.0,1050,60,750,120,550
133,14.38,0.126,9.03,1.39,0.06,0.56,0.24,0.06,0.0,0.0,0.005,0.03,980,30,763,90,250
